word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
学ぶ,0.0012779093244441,0.0013860295983595,0.0026639389228036003,共通要因,2,True,1
myit,0.0013795616105198,0.0010883975774049,0.0024679591879246997,共通要因,4,False,2
まま,0.0010056600512303,0.0013982960090194,0.0024039560602497,共通要因,2,True,3
電動,0.0012911313346454,0.0010778265339987,0.0023689578686441,共通要因,2,True,4
すぐ,0.0013412068014949,0.0009422459435172,0.0022834527450121,共通要因,2,True,5
より,0.0011252379826308,0.001113365834885,0.0022386038175158,共通要因,2,True,6
単語語,0.0016883205001552,0.000509467596809,0.0021977880969641997,共通要因,3,True,7
方式,0.0009630486882966,0.0011483502799067,0.0021113989682033,共通要因,2,True,8
れる,0.0011526135205883,0.0008305661244517,0.00198317964504,共通要因,2,True,9
下さい,0.0013311765510444,0.0006428591387216,0.0019740356897660002,共通要因,3,True,10
あんまり,0.0008491154473561,0.0011192978574679,0.001968413304824,共通要因,4,True,11
代わり,0.0014794213431222,0.0004720517567225,0.0019514730998447,感情特化,3,True,12
リスト,0.0008545496634074,0.0010950214096478,0.0019495710730552,共通要因,3,True,13
複素,0.0008865189003316,0.0010533079897102,0.0019398268900417998,共通要因,2,True,14
持っけ,0.0015144240111112,0.0004195347428321,0.0019339587539432999,感情特化,3,True,15
書きべ,0.0005801245570182,0.0013533622026443,0.0019334867596625,共通要因,3,True,16
ペン,0.0010536637689386,0.0008781930165631,0.0019318567855017,共通要因,2,True,17
台湾,0.0012151923562799,0.0007154004914419,0.0019305928477218,共通要因,2,True,18
総括,0.000973604619503,0.0009523880268846,0.0019259926463876,共通要因,2,True,19
理解,0.0010727058911217,0.0008330589952782,0.0019057648863999,共通要因,2,True,20
人数,0.0011948224517606,0.0007039919014899,0.0018988143532505,共通要因,2,True,21
推奨,0.0011318320265183,0.0007554040505335,0.0018872360770518,共通要因,2,True,22
異なる,0.0010566474361853,0.0008289811737609,0.0018856286099462002,共通要因,3,True,23
II,0.0011845334536499,0.00069025710777,0.0018747905614199,共通要因,2,False,24
我々,0.0006406173110008,0.001213205854098,0.0018538231650988,共通要因,2,True,25
含め,0.0010673562508253,0.000785286227862,0.0018526424786873001,共通要因,2,True,26
機械,0.0007591463961741,0.0010900166558308,0.0018491630520049,共通要因,2,True,27
結婚,0.0009989885702019,0.0008486363859403,0.0018476249561421999,共通要因,2,True,28
救急,0.0008082625766595,0.0010321624577045,0.001840425034364,共通要因,2,True,29
中心習,0.0009620810548464,0.0008761398494243,0.0018382209042707,共通要因,3,True,30
両立,0.0010475864013036,0.0007903786997,0.0018379651010036,共通要因,2,True,31
うつし,0.0006267740391194,0.0012106848880648,0.0018374589271841998,共通要因,3,True,32
数多く,0.0010842118750918,0.0007492859255183,0.0018334978006101003,共通要因,3,True,33
抵抗,0.0005593871076901,0.0012707949305574,0.0018301820382474999,共通要因,2,True,34
リーダー,0.0007607907056808,0.0010634504258632,0.001824241131544,共通要因,4,True,35
忘れ物,0.00134670548141,0.000476193614304,0.001822899095714,感情特化,3,True,36
付き合い,0.0011790785938501,0.0006419628858566,0.0018210414797067,共通要因,4,True,37
スタイル,0.0007796722890461,0.0010399990794012,0.0018196713684473001,共通要因,4,True,38
本質,0.0010894656181335,0.0007268011569976,0.0018162667751311001,共通要因,2,True,39
ます書,0.0014500285570438,0.0003579683028734,0.0018079968599172,感情特化,3,True,40
勝手,0.0011520035564899,0.0006501995027065,0.0018022030591964,共通要因,2,True,41
鍛える,0.0009396552211708,0.0008513136870331,0.0017909689082039,共通要因,3,True,42
行事,0.0011678081937134,0.0006227316334843,0.0017905398271977,共通要因,2,True,43
