ID,自由記述,感情スコア,授業評価スコア
74377,犯罪にならないだろうと思っていたことが犯罪として成立していたり、逆の場合もあった。 自分が犯罪に巻き込まれたり、加害者にならないように気をつけたい。,-1.0,3.67
3720,自分は受ける日にむらがあって時間割通りに授業を受けることができなかった,-1.0,3.42
40455,過去問は当てにならない。,-1.0,3.55
61932,テスト持ち込みありなので内職はしないように。もし内職がバレたらテスト持ち込み無しにされる可能性があります。,0.0,3.65
90157,毎回小テストがあるので復習をしておかないと大変なことになる。,0.0,3.38
38911,授業のペースが早かったので復習が書かせませでした。,0.0,3.52
66659,小テストが予定日通りに進まない,-1.0,3.31
20472,中国語Ⅰを受講してから受けないと全く理解できない。,-1.0,3.33
52890,明らかに履修者の人数が少なかったです。履修者自体は多いのでしょうが、教室にいる人数が少なかったです。あれは私の見間違いでしょうか？それとも本当に人数が少なかったのでしょうか？ではなぜ、履修者の割に教室にいる人数が少なかったのでしょうか？んん？？むむむ？？まさか？？ピ逃げしてるな？？？ん？？ってことです！,-1.0,3.0
86258,先生の人数が少なかったのでなかなか質問することができなかった,-1.0,3.46
63351,レポート提出わすれずに。,0.0,3.4
85462,一回一回の授業の復習をその日のうちにやらないとついていけなくなる。,-1.0,3.06
78341,先生が悪いわけでなく該当する学生が悪いのですが、授業中に先生に対して言うべきではないような発言、態度が見られる学生がいました。そのような生徒に対しては、今後受講資格を無くしても良いのではないかと考えます。他の学生に迷惑をかけるような学生に対しては、今後そのような処置を考えてみられてはいかがでしょうか。,-1.0,3.11
82002,基礎てきな問題しか解くことができなかった。少しでも応用されるとま全然解けなかった。,-1.0,3.09
35322,授業中にやっちゃいけない事があるのでそれをやらない。要するに普通に受ければ良いだけです。授業態度が悪かったら単位は取れません。,0.0,3.2
80903,毎回講義が終わる間際に来て出席になる人がいると最初から真面目に受けている人がバカらしくなってくるので講義開始後20分以降は欠席扱いにして欲しかったです,-1.0,3.83
35234,手描きノートしかテストで持ち込めません。,-1.0,3.38
92604,席によっては黒板が見えず、どこを説明しているのかが分からない。,-1.0,3.62
67607,先生が話すだけの授業なので、あまり頭に入ってこなかった,-1.0,3.29
38434,課題配点を甘く見たら負け,0.0,3.63
4803,動画がぶつぶつきれるのが嫌でした。,-1.0,3.37
