,mean_shap,abs_mean_shap,std_shap,count
 やす,0.26603196793594686,0.26603280757264663,0.137202168970491,337.0
 良かっ,0.2465709603196082,0.2465709603196082,0.17877909052697008,207.0
 おもしろ,0.24384845575140474,0.24384845575140474,0.15119652217954657,10.0
 よかっ,0.22514156075542013,0.22514156075542013,0.1472742600635929,195.0
 面白,0.21775564944405118,0.21780844246769335,0.17191306449463117,100.0
 楽しい,0.19593095270115954,0.19679160411839874,0.15982715145534931,67.0
 楽しめる,0.1875528837120833,0.18769145180251345,0.12343608801355156,6.0
 ありが,0.1759885845045723,0.1759885845045723,0.12451870970788866,19.0
 楽し,0.16418666456374603,0.1642212982647802,0.14576082565475038,192.0
 面白い,0.1517880348999933,0.1517880348999933,0.12827392643003652,37.0
 でき,0.12541478360596273,0.12559204362176996,0.10118011217709807,996.0
 出来,0.11469197247610773,0.11489087730035075,0.0903211374293283,237.0
かっ,0.10992310140655309,0.10999103720546996,0.06454417342768062,539.0
 助,0.10439380390026032,0.10444490145297969,0.07766731043133214,41.0
 達成,0.1034648115395583,0.1034648115395583,0.030250113110275343,9.0
 学,0.09621925117584663,0.09642202754612024,0.1006485955623744,263.0
 きっかけ,0.09568707161812805,0.09604227319696293,0.09880141572013909,20.0
 好き,0.09469643537605171,0.09469643537605171,0.10518139932118581,32.0
 嬉,0.09430617969698363,0.09430617969698363,0.07720496948113027,29.0
 充実,0.09164384656652393,0.09164384656652393,0.11886943721579793,20.0
 役立つ,0.08980021583828585,0.09021274098176019,0.09543060798398549,22.0
 価値,0.08766046208918506,0.08766046208918506,0.05974556901125397,7.0
 飽き,0.08491076959326165,0.10062403110350715,0.13452387913330832,5.0
 深,0.08389185298121897,0.08401766822624968,0.06765546856937849,51.0
べ,0.08357274211574758,0.08518862051571643,0.07066662554186048,148.0
 分かり,0.08333576639561462,0.08348724574789042,0.07311075259581797,251.0
 なれ,0.07964243622099511,0.07964243622099511,0.0841558756877347,9.0
 仲良く,0.07887919168985848,0.07887919168985848,0.06460310216223861,7.0
 安心,0.07869094706761548,0.07959987653038461,0.07394107677272997,14.0
 立っ,0.07513957646369818,0.07513957646369818,0.050620012410701166,10.0
べる,0.07462759151735061,0.07496661056367088,0.07935642002387328,30.0
 わかり,0.07330004804374869,0.07374286690125584,0.0685268391297919,232.0
 合っ,0.07241021100465635,0.07241021100465635,0.07086991886361911,6.0
 新鮮,0.07195136640976894,0.07195136640976894,0.06963565897839682,7.0
 繋がっ,0.07134158602524882,0.07134158602524882,0.04135437281426445,5.0
 過ご,0.07075038233306259,0.07075038233306259,0.08453382764149259,5.0
 実用,0.06810912666551303,0.06810912666551303,0.060206397730908794,5.0
たか,0.06688230011423002,0.08458358354486832,0.0734648124655345,11.0
 意義,0.0667707106138997,0.0667707106138997,0.06262226605162978,71.0
 できる,0.06606156269652845,0.06658762017879799,0.08231946430986252,188.0
 やすい,0.06569248076074383,0.06781422563240437,0.08130255726471843,167.0
 楽しん,0.06550418588985345,0.06550418588985345,0.0630096633820533,12.0
 役,0.06458074428870747,0.06462828530844705,0.05657474254421073,52.0
 会,0.06443439848211996,0.06656228586056671,0.10225022448044063,5.0
 つながっ,0.06343026692775311,0.06343026692775311,0.06524332578772907,6.0
 楽しみ,0.06055179266348696,0.06055179266348696,0.051291471447217823,17.0
 良い,0.06038196136274639,0.06041136609546687,0.07174981344888115,228.0
 向上,0.060297806474238116,0.060297806474238116,0.08682247524799169,20.0
 得,0.05968322725084363,0.0603286188244662,0.08038749209296776,24.0
 得る,0.05868012239362644,0.05868012239362644,0.03981963212537149,30.0
 楽,0.05840390121633026,0.05860641889521978,0.07368037609638062,26.0
 立ち,0.057981806499204445,0.057981806499204445,0.02670915814468441,6.0
 有,0.0578450258198282,0.05788460189929502,0.05788745877483761,72.0
 習得,0.05766995026951944,0.05901401848307944,0.054593709775151225,6.0
 学ぶ,0.0571381178122098,0.05749552671714088,0.04509285318654396,349.0
 使える,0.05682261572208237,0.05689801994538776,0.04453391558637653,13.0
 感謝,0.05643420755880099,0.05643420755880099,0.07378786136987048,18.0
 まし,0.05577980989241855,0.05605205947622754,0.06289211265442622,1182.0
 もらえる,0.055381720774849305,0.05592650458796318,0.059854860355104456,14.0
 た,0.05495743032395342,0.055104058387674425,0.06089769551935905,5162.0
 出来る,0.05458844274196566,0.0553059625450741,0.07150285957737566,37.0
 よい,0.053668661632029185,0.053668661632029185,0.05926608993643959,49.0
 つながり,0.05191538450800937,0.05233993119376657,0.033560934651295,7.0
れる,0.05087264077236695,0.05087264077236695,0.04939259141971402,6.0
 ありがとう,0.05038842688848431,0.05572413719116325,0.05673342811903496,267.0
 効果,0.050291435033264296,0.050291435033264296,0.05793423218775165,5.0
 教,0.049860233527094046,0.049860233527094046,0.04180872006674339,6.0
 取り入れ,0.04962266929360339,0.04962266929360339,0.037411216776821084,5.0
 です,0.04926804206033818,0.04998314787168475,0.057334446361438925,1159.0
 活かし,0.04874778124909645,0.04874778124909645,0.03974282673996187,27.0
 楽しむ,0.04804021969071722,0.04804021969071722,0.039160671323006054,7.0
 おかげ,0.04796976847597353,0.04796976847597353,0.050206785289809555,37.0
 活,0.04788803809457353,0.049607157889113296,0.03406756659580187,11.0
 優しい,0.047764041197751794,0.047764041197751794,0.03867931173997646,8.0
 学び,0.04766490483726606,0.04769365796756937,0.05580131818803407,116.0
 知る,0.04726686840221039,0.04727535199679428,0.032833090346130064,155.0
 分かっ,0.04687514753175037,0.048151221204420835,0.05616614486847684,24.0
 深める,0.0468228065265857,0.04720968442214381,0.03967488539590991,46.0
 くれる,0.04604291344326195,0.04623752727164283,0.041619112803811344,52.0
 気分,0.04545596428059645,0.04545596428059645,0.055165404717385874,5.0
せ,0.045449602411796755,0.046550474450820424,0.06283450649874942,20.0
 上がっ,0.044915156934621336,0.044994769567892945,0.05062431321630434,8.0
 知れ,0.04457771398496907,0.04457771398496907,0.03924008349757545,48.0
 わかっ,0.04441617042539167,0.044443879698326874,0.07196092270432514,19.0
 初,0.04415173659920887,0.04415173659920887,0.03203678230378913,6.0
 聞,0.043993694009413935,0.04932786150944399,0.05074442979991245,33.0
 機会,0.04396783477881203,0.04421683039256705,0.04868659506242296,97.0
 持て,0.04335731979699631,0.04354979965804281,0.03436533742539164,6.0
 興味,0.04292750715808233,0.04475940562044419,0.049707910374120985,103.0
 知り,0.04267225896421678,0.04267225896421678,0.04238779841084616,16.0
 取り組,0.0425213864788679,0.044155458350089924,0.039755920884473134,33.0
 生かし,0.042343149145384534,0.042343149145384534,0.028337557710316975,15.0
 やすく,0.042097514207291103,0.04333849806145772,0.043600361449665524,208.0
 得点,0.0420157916873688,0.0420157916873688,0.03286407327718928,6.0
 触れる,0.04194580371417942,0.04237200268121342,0.03320521649788935,16.0
 取れ,0.04184351845165913,0.042205486495795946,0.06288267243355483,17.0
 成長,0.04154534525723369,0.04154534525723369,0.047371098175235764,20.0
 期待,0.04142664871873663,0.04142664871873663,0.03145286795200041,12.0
える,0.040789155275054556,0.04083617984284517,0.08336200857786617,13.0
 生き,0.03910439841834327,0.03910439841834327,0.035665227116721245,13.0
 理解,0.03882549383291319,0.03977158632542599,0.048615331613424226,600.0
 幸い,0.03852594496757342,0.03852594496757342,0.031410643348094056,9.0
 う,0.038120340793964036,0.03863428350819499,0.03670395864782064,13.0
 とれ,0.037671872439777876,0.0377030082996771,0.06323653203536313,11.0
 学ん,0.03723903217690895,0.03723903217690895,0.03952986790803527,139.0
 力,0.0368758236216568,0.03732781994027185,0.04757598264405723,137.0
 もらっ,0.036784051511412626,0.03686577388044455,0.050269473743466984,12.0
 知識,0.03652894743050238,0.037003537864160066,0.04195168767925668,223.0
 高める,0.036344040214279796,0.036344040214279796,0.027235558633472892,7.0
 身,0.036101642896277666,0.036328270543160394,0.036359478181724525,143.0
 動かす,0.03580624542351311,0.03580624542351311,0.02759459886172338,13.0
