,mean_shap,mean_shap,mean_shap,abs_mean_shap,count
,mean,max,count,mean,sum
category,,,,,
その他,0.0087,0.1099,1391,0.0134,110436.0
その他ネガティブ,-0.0139,-0.0096,6,0.0172,198.0
わかりやすさ,0.047,0.1996,10,0.0521,2184.0
不満・失望,-0.0249,-0.0116,7,0.0263,170.0
不満足,-0.0086,-0.0085,2,0.0095,29.0
人間関係,0.0464,0.0789,9,0.0478,387.0
学習効果,0.0328,0.1035,27,0.0343,1508.0
安心感,0.0563,0.1044,7,0.0565,139.0
実用性,0.0501,0.0898,9,0.0503,181.0
感謝・満足,0.1239,0.2466,8,0.1246,804.0
改善要求,-0.0085,0.0054,7,0.0131,461.0
時間・期限,-0.0109,-0.0083,6,0.0125,107.0
機会・体験,0.0348,0.0957,10,0.036,212.0
深い学び,0.0416,0.0839,10,0.0421,479.0
理解困難,-0.0014,0.0031,4,0.0081,165.0
苦手・困難,-0.0165,-0.0153,4,0.0196,130.0
負担・圧迫,-0.0015,0.0056,2,0.0097,75.0
退屈・単調,-0.0026,-0.0006,2,0.0058,37.0
達成感,0.0511,0.1254,13,0.0518,1616.0
難しさ・複雑さ,-0.0016,0.0318,15,0.019,862.0
面白さ・興味,0.1279,0.2438,12,0.1295,563.0
