word,mean_shap,abs_mean_shap,count,category,sentiment_type
奥,-0.0219336044074225,0.0473549858279511,8.0,難しさ・複雑さ,ネガティブ
ほし,-0.0443204480901974,0.0443204480901974,5.0,不満・失望,ネガティブ
ほう,-0.0425202647649629,0.0439379899546956,98.0,その他,ネガティブ
大,-0.0345524403931702,0.0367507204131576,86.0,難しさ・複雑さ,ネガティブ
難しかった,-0.0310508196574681,0.0351190759709496,88.0,難しさ・複雑さ,ネガティブ
まじ,-0.0314044149548863,0.0314044149548863,5.0,不満・失望,ネガティブ
苦手,-0.0191480727119843,0.0303695498321942,98.0,苦手・困難,ネガティブ
ほしい,-0.0262588800494283,0.0279244755561795,45.0,不満・失望,ネガティブ
欲しい,-0.0247395915346662,0.027343129334147,33.0,不満・失望,ネガティブ
直す,-0.0263705646285719,0.0272324665154883,6.0,改善要求,ネガティブ
器具,-0.0210695100966454,0.0270135507568038,7.0,その他ネガティブ,ネガティブ
引き,-0.0155153674298032,0.0233053554132181,7.0,その他,ネガティブ
少なかった,-0.0139276986610639,0.0226078861087444,6.0,その他,ネガティブ
方,-0.0115179572988166,0.021904981780228,481.0,その他,ネガティブ
こなす,-0.0043964890183786,0.0217223041571771,7.0,その他,ネガティブ
真面目,-0.0193222970264094,0.0212169145029981,33.0,その他ネガティブ,ネガティブ
穴,-0.0159914738066039,0.0206498155980212,11.0,その他,ネガティブ
程度,-0.0187102177407235,0.0204168985957239,41.0,不満・失望,ネガティブ
き,-0.0036824172833032,0.0201180967689334,80.0,その他,ネガティブ
期間,-0.015929299900099,0.0198609953300161,6.0,時間・期限,ネガティブ
もう,-0.017210919428809,0.0188384324206179,35.0,不満・失望,ネガティブ
ください,-0.0182890115133067,0.0187750568892419,365.0,改善要求,ネガティブ
ばかり,-0.0153144309918381,0.0180134964644252,21.0,その他,ネガティブ
たかった,-0.0127829748439143,0.0171870219379662,14.0,その他,ネガティブ
報告,-0.0148434130996368,0.0170357235282911,5.0,その他,ネガティブ
不足,-0.0158701563670462,0.0165638966956891,16.0,苦手・困難,ネガティブ
いろいろ,-0.0084416035381954,0.0164268144345615,25.0,その他,ネガティブ
異,-0.0005292404469704,0.0161301500835785,9.0,その他,ネガティブ
疲れ,-0.0152913369526662,0.0159942555769552,11.0,苦手・困難,ネガティブ
行え,-0.000827856296155,0.0159480890358736,8.0,その他,ネガティブ
油,-0.0155925070153898,0.0155925070153898,5.0,苦手・困難,ネガティブ
シート,-0.0105933565553806,0.0154507889806568,11.0,その他ネガティブ,ネガティブ
年次,-0.003535429514893,0.0153968284813176,9.0,その他,ネガティブ
怠,-0.0102152517226516,0.0151362392108628,7.0,その他ネガティブ,ネガティブ
じ,-0.002169460132427,0.0149988222998217,5.0,その他,ネガティブ
ペース,-0.0077325064658258,0.0149907974666088,10.0,その他,ネガティブ
こ,-0.0007382093129365,0.0148832253100351,16.0,その他,ネガティブ
途中,-0.0099541102235062,0.0146313115947123,11.0,時間・期限,ネガティブ
明確,-0.0106172796063219,0.0145883085083369,8.0,わかりやすさ,ネガティブ
大変,-0.0020074606597961,0.0145407249885035,93.0,難しさ・複雑さ,ネガティブ
さえ,-0.0137465703774068,0.0145305835721956,8.0,その他,ネガティブ
ノート,-0.0124801655656336,0.0145264061447813,132.0,その他ネガティブ,ネガティブ
単位,-0.0056873893845362,0.0144850315517067,52.0,その他,ネガティブ
別,-0.0066069746432913,0.0144411119235398,9.0,その他,ネガティブ
面接,-0.0067792696616379,0.0143789745372487,5.0,その他,ネガティブ
意図,-0.0035472305062285,0.0142791222904634,5.0,その他,ネガティブ
まとめる,-0.0054691553327756,0.0142312014763774,16.0,その他,ネガティブ
調べる,-0.0062557657643188,0.0141708527171974,14.0,その他,ネガティブ
み,-0.0044799398135081,0.0141545899042385,10.0,その他,ネガティブ
直し,-0.0141185044861534,0.0141185044861534,6.0,改善要求,ネガティブ
