word,mean_shap,abs_mean_shap,count,category,sentiment_type
良かった,0.2465709603196082,0.2465709603196082,207.0,感謝・満足,ポジティブ
おもしろ,0.2438484557514047,0.2438484557514047,10.0,面白さ・興味,ポジティブ
よかった,0.2251415607554201,0.2251415607554201,195.0,感謝・満足,ポジティブ
面白,0.217755649444051,0.2178084424676933,100.0,面白さ・興味,ポジティブ
やすい,0.1996496378600362,0.2003532377630821,504.0,わかりやすさ,ポジティブ
楽しい,0.1959309527011595,0.1967916041183987,67.0,面白さ・興味,ポジティブ
楽しめる,0.1875528837120833,0.1876914518025133,6.0,面白さ・興味,ポジティブ
ありが,0.1759885845045723,0.1759885845045723,19.0,感謝・満足,ポジティブ
楽し,0.164186664563746,0.1642212982647802,192.0,面白さ・興味,ポジティブ
面白い,0.1517880348999933,0.1517880348999933,37.0,面白さ・興味,ポジティブ
でき,0.1254147836059627,0.1255920436217699,996.0,達成感,ポジティブ
出来,0.1146919724761077,0.1148908773003507,237.0,達成感,ポジティブ
かった,0.109923101406553,0.1099910372054699,539.0,その他,ポジティブ
助,0.1043938039002603,0.1044449014529796,41.0,安心感,ポジティブ
達成,0.1034648115395583,0.1034648115395583,9.0,学習効果,ポジティブ
学,0.0962192511758466,0.0964220275461202,263.0,学習効果,ポジティブ
きっかけ,0.095687071618128,0.0960422731969629,20.0,機会・体験,ポジティブ
好き,0.0946964353760517,0.0946964353760517,32.0,感謝・満足,ポジティブ
嬉,0.0943061796969836,0.0943061796969836,29.0,感謝・満足,ポジティブ
充実,0.0916438465665239,0.0916438465665239,20.0,その他,ポジティブ
役立つ,0.0898002158382858,0.0902127409817601,22.0,実用性,ポジティブ
価値,0.087660462089185,0.087660462089185,7.0,学習効果,ポジティブ
飽き,0.0849107695932616,0.1006240311035071,5.0,面白さ・興味,ポジティブ
深,0.0838918529812189,0.0840176682262496,51.0,深い学び,ポジティブ
べ,0.0835727421157475,0.0851886205157164,148.0,その他,ポジティブ
分かり,0.0833357663956146,0.0834872457478904,251.0,わかりやすさ,ポジティブ
なれ,0.0796424362209951,0.0796424362209951,9.0,その他,ポジティブ
仲良く,0.0788791916898584,0.0788791916898584,7.0,人間関係,ポジティブ
安心,0.0786909470676154,0.0795998765303846,14.0,安心感,ポジティブ
立っ,0.0751395764636981,0.0751395764636981,10.0,その他,ポジティブ
べる,0.0746275915173506,0.0749666105636708,30.0,その他,ポジティブ
わかり,0.0733000480437486,0.0737428669012557,232.0,わかりやすさ,ポジティブ
合っ,0.0724102110046563,0.0724102110046563,6.0,その他,ポジティブ
新鮮,0.0719513664097689,0.0719513664097689,7.0,面白さ・興味,ポジティブ
繋がっ,0.0713415860252488,0.0713415860252488,5.0,人間関係,ポジティブ
過ご,0.0707503823330625,0.0707503823330625,5.0,機会・体験,ポジティブ
実用,0.068109126665513,0.068109126665513,5.0,実用性,ポジティブ
たか,0.06688230011423,0.0845835835448683,11.0,その他,ポジティブ
意義,0.0667707106138997,0.0667707106138997,71.0,学習効果,ポジティブ
できる,0.0660615626965284,0.0665876201787979,188.0,達成感,ポジティブ
楽しん,0.0655041858898534,0.0655041858898534,12.0,面白さ・興味,ポジティブ
役,0.0645807442887074,0.064628285308447,52.0,実用性,ポジティブ
会,0.0644343984821199,0.0665622858605667,5.0,人間関係,ポジティブ
つながっ,0.0634302669277531,0.0634302669277531,6.0,人間関係,ポジティブ
楽しみ,0.0605517926634869,0.0605517926634869,17.0,面白さ・興味,ポジティブ
良い,0.0603819613627463,0.0604113660954668,228.0,その他,ポジティブ
向上,0.0602978064742381,0.0602978064742381,20.0,学習効果,ポジティブ
得,0.0596832272508436,0.0603286188244662,24.0,達成感,ポジティブ
得る,0.0586801223936264,0.0586801223936264,30.0,達成感,ポジティブ
楽,0.0584039012163302,0.0586064188952197,26.0,その他,ポジティブ
