word,mean_shap,abs_mean_shap,count,category,sentiment_type
良かった,0.2465709603196082,0.2465709603196082,207.0,感謝・満足,ポジティブ
おもしろ,0.2438484557514047,0.2438484557514047,10.0,面白さ・興味,ポジティブ
よかった,0.2251415607554201,0.2251415607554201,195.0,感謝・満足,ポジティブ
面白,0.217755649444051,0.2178084424676933,100.0,面白さ・興味,ポジティブ
やすい,0.1996496378600362,0.2003532377630821,504.0,わかりやすさ,ポジティブ
楽しい,0.1959309527011595,0.1967916041183987,67.0,面白さ・興味,ポジティブ
楽しめる,0.1875528837120833,0.1876914518025133,6.0,面白さ・興味,ポジティブ
ありが,0.1759885845045723,0.1759885845045723,19.0,感謝・満足,ポジティブ
楽し,0.164186664563746,0.1642212982647802,192.0,面白さ・興味,ポジティブ
面白い,0.1517880348999933,0.1517880348999933,37.0,面白さ・興味,ポジティブ
でき,0.1254147836059627,0.1255920436217699,996.0,達成感,ポジティブ
出来,0.1146919724761077,0.1148908773003507,237.0,達成感,ポジティブ
かった,0.109923101406553,0.1099910372054699,539.0,その他,ポジティブ
助,0.1043938039002603,0.1044449014529796,41.0,安心感,ポジティブ
達成,0.1034648115395583,0.1034648115395583,9.0,学習効果,ポジティブ
飽き,0.0849107695932616,0.1006240311035071,5.0,面白さ・興味,ポジティブ
学,0.0962192511758466,0.0964220275461202,263.0,学習効果,ポジティブ
きっかけ,0.095687071618128,0.0960422731969629,20.0,機会・体験,ポジティブ
好き,0.0946964353760517,0.0946964353760517,32.0,感謝・満足,ポジティブ
嬉,0.0943061796969836,0.0943061796969836,29.0,感謝・満足,ポジティブ
充実,0.0916438465665239,0.0916438465665239,20.0,その他,ポジティブ
役立つ,0.0898002158382858,0.0902127409817601,22.0,実用性,ポジティブ
価値,0.087660462089185,0.087660462089185,7.0,学習効果,ポジティブ
べ,0.0835727421157475,0.0851886205157164,148.0,その他,ポジティブ
たか,0.06688230011423,0.0845835835448683,11.0,その他,ポジティブ
深,0.0838918529812189,0.0840176682262496,51.0,深い学び,ポジティブ
分かり,0.0833357663956146,0.0834872457478904,251.0,わかりやすさ,ポジティブ
なれ,0.0796424362209951,0.0796424362209951,9.0,その他,ポジティブ
安心,0.0786909470676154,0.0795998765303846,14.0,安心感,ポジティブ
仲良く,0.0788791916898584,0.0788791916898584,7.0,人間関係,ポジティブ
立っ,0.0751395764636981,0.0751395764636981,10.0,その他,ポジティブ
べる,0.0746275915173506,0.0749666105636708,30.0,その他,ポジティブ
わかり,0.0733000480437486,0.0737428669012557,232.0,わかりやすさ,ポジティブ
合っ,0.0724102110046563,0.0724102110046563,6.0,その他,ポジティブ
新鮮,0.0719513664097689,0.0719513664097689,7.0,面白さ・興味,ポジティブ
繋がっ,0.0713415860252488,0.0713415860252488,5.0,人間関係,ポジティブ
過ご,0.0707503823330625,0.0707503823330625,5.0,機会・体験,ポジティブ
実用,0.068109126665513,0.068109126665513,5.0,実用性,ポジティブ
意義,0.0667707106138997,0.0667707106138997,71.0,学習効果,ポジティブ
できる,0.0660615626965284,0.0665876201787979,188.0,達成感,ポジティブ
会,0.0644343984821199,0.0665622858605667,5.0,人間関係,ポジティブ
楽しん,0.0655041858898534,0.0655041858898534,12.0,面白さ・興味,ポジティブ
役,0.0645807442887074,0.064628285308447,52.0,実用性,ポジティブ
つながっ,0.0634302669277531,0.0634302669277531,6.0,人間関係,ポジティブ
楽しみ,0.0605517926634869,0.0605517926634869,17.0,面白さ・興味,ポジティブ
良い,0.0603819613627463,0.0604113660954668,228.0,その他,ポジティブ
得,0.0596832272508436,0.0603286188244662,24.0,達成感,ポジティブ
向上,0.0602978064742381,0.0602978064742381,20.0,学習効果,ポジティブ
習得,0.0576699502695194,0.0590140184830793,6.0,学習効果,ポジティブ
得る,0.0586801223936264,0.0586801223936264,30.0,達成感,ポジティブ
楽,0.0584039012163302,0.0586064188952197,26.0,その他,ポジティブ
立ち,0.0579818064992044,0.0579818064992044,6.0,その他,ポジティブ
有,0.0578450258198282,0.0578846018992949,72.0,その他,ポジティブ
学ぶ,0.0571381178122098,0.0574955267171407,349.0,学習効果,ポジティブ
使える,0.0568226157220823,0.0568980199453876,13.0,実用性,ポジティブ
感謝,0.0564342075588008,0.0564342075588008,18.0,感謝・満足,ポジティブ
まし,0.0557798098924185,0.0560520594762275,1182.0,その他,ポジティブ
もらえる,0.0553817207748493,0.0559265045879631,14.0,安心感,ポジティブ
ありがとう,0.0503884268884843,0.0557241371911632,267.0,感謝・満足,ポジティブ
出来る,0.0545884427419656,0.0553059625450741,37.0,達成感,ポジティブ
た,0.0549574303239533,0.0551040583876744,5162.0,その他,ポジティブ
よい,0.0536686616320291,0.0536686616320291,49.0,その他,ポジティブ
つながり,0.0519153845080093,0.0523399311937665,7.0,人間関係,ポジティブ
れる,0.0508726407723668,0.0508726407723668,6.0,その他,ポジティブ
効果,0.0502914350332642,0.0502914350332642,5.0,学習効果,ポジティブ
です,0.0492680420603381,0.0499831478716847,1159.0,その他,ポジティブ
教,0.0498602335270939,0.0498602335270939,6.0,その他,ポジティブ
取り入れ,0.0496226692936033,0.0496226692936033,5.0,実用性,ポジティブ
活,0.0478880380945735,0.0496071578891131,11.0,その他,ポジティブ
聞,0.0439936940094139,0.0493278615094439,33.0,その他,ポジティブ
活かし,0.0487477812490964,0.0487477812490964,27.0,実用性,ポジティブ
分かった,0.0468751475317502,0.0481512212044208,24.0,深い学び,ポジティブ
楽しむ,0.0480402196907172,0.0480402196907172,7.0,面白さ・興味,ポジティブ
おかげ,0.0479697684759735,0.0479697684759735,37.0,感謝・満足,ポジティブ
優しい,0.0477640411977517,0.0477640411977517,8.0,安心感,ポジティブ
学び,0.047664904837266,0.0476936579675693,116.0,学習効果,ポジティブ
奥,-0.0219336044074225,0.0473549858279511,8.0,難しさ・複雑さ,ネガティブ
知る,0.0472668684022103,0.0472753519967942,155.0,深い学び,ポジティブ
深める,0.0468228065265857,0.0472096844221438,46.0,深い学び,ポジティブ
せ,0.0454496024117967,0.0465504744508204,20.0,その他,ポジティブ
くれる,0.0460429134432619,0.0462375272716428,52.0,安心感,ポジティブ
気分,0.0454559642805964,0.0454559642805964,5.0,安心感,ポジティブ
上がっ,0.0449151569346213,0.0449947695678929,8.0,その他,ポジティブ
興味,0.0429275071580823,0.0447594056204441,103.0,面白さ・興味,ポジティブ
知れ,0.0445777139849689,0.0445777139849689,48.0,深い学び,ポジティブ
わかった,0.0444161704253916,0.0444438796983268,19.0,深い学び,ポジティブ
ほし,-0.0443204480901974,0.0443204480901974,5.0,不満・失望,ネガティブ
機会,0.043967834778812,0.044216830392567,97.0,人間関係,ポジティブ
取り組,0.0425213864788679,0.0441554583500899,33.0,その他,ポジティブ
初,0.0441517365992088,0.0441517365992088,6.0,機会・体験,ポジティブ
ほう,-0.0425202647649629,0.0439379899546956,98.0,その他,ネガティブ
持て,0.0433573197969963,0.0435497996580428,6.0,その他,ポジティブ
やすく,0.0420975142072911,0.0433384980614577,208.0,わかりやすさ,ポジティブ
知り,0.0426722589642167,0.0426722589642167,16.0,深い学び,ポジティブ
触れる,0.0419458037141794,0.0423720026812134,16.0,機会・体験,ポジティブ
生かし,0.0423431491453845,0.0423431491453845,15.0,実用性,ポジティブ
取れ,0.0418435184516591,0.0422054864957959,17.0,達成感,ポジティブ
得点,0.0420157916873688,0.0420157916873688,6.0,達成感,ポジティブ
付い,0.0356180387017201,0.0415840685689396,6.0,その他,ポジティブ
成長,0.0415453452572336,0.0415453452572336,20.0,学習効果,ポジティブ
