word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
分かる,0.0004979269055837,0.000487222807126,0.0009851497127097001,低重要度,3,True,1548
達成,0.0004942097525665,0.0004865067700544,0.0009807165226209,低重要度,2,True,1568
参考,0.0004834634782646,0.0004957646371856,0.0009792281154502,低重要度,2,True,1573
研修,0.0004850558936595,0.0004810720682144,0.0009661279618739,低重要度,2,True,1628
楽しむ,0.0004621765723353,0.0004968419671058,0.0009590185394410999,低重要度,3,True,1660
です談,0.0004539281129837,0.0004975363612174,0.0009514644742011,低重要度,3,True,1688
本格,0.0004783522337675,0.0004656977951526,0.0009440500289201,低重要度,2,True,1712
コミュケーション,0.0004969878743092,0.0004443190991878,0.000941306973497,低重要度,8,True,1718
唯一,0.0004575255398566,0.0004776948346541,0.0009352203745107,低重要度,2,True,1737
序盤,0.0004345089197158,0.0004992231726646,0.0009337320923804,低重要度,2,True,1744
じゃ,0.0004401026914517,0.0004936063289642,0.0009337090204159,低重要度,2,True,1745
変更,0.0004912742879241,0.0004391176626086,0.0009303919505327,低重要度,2,True,1758
失敗,0.0004901899711081,0.0004378219968394,0.0009280119679475,低重要度,2,True,1763
発揮,0.0004283905029296,0.0004965737462043,0.0009249642491339,低重要度,2,True,1770
英語習,0.0004443682730197,0.0004801236093044,0.0009244918823241,低重要度,3,True,1773
蘇生,0.0004538719852765,0.0004677772521972,0.0009216492374737,低重要度,2,True,1781
持た,0.0004272342969973,0.000493807097276,0.0009210413942733,低重要度,2,True,1785
面白く,0.0004207707113689,0.0004936588617662,0.0009144295731351,低重要度,3,True,1806
演習,0.0004853005368399,0.0004274118858155,0.0009127124226554,低重要度,2,True,1813
どんな,0.0004609860928661,0.0004480323608381,0.0009090184537042,低重要度,3,True,1832
講和,0.000476320584615,0.0004317077497641,0.0009080283343791,低重要度,2,True,1835
いただけ,0.0004152186950783,0.000492272277673,0.0009074909727513,低重要度,4,True,1839
しっかり,0.0004956790197418,0.0004105880342201,0.0009062670539618999,低重要度,4,True,1845
数字,0.0004216028520694,0.0004845685683763,0.0009061714204457001,低重要度,2,True,1847
習得,0.0004721297275113,0.0004330904263517,0.000905220153863,低重要度,2,True,1851
要望,0.000482200476599,0.0004214658794632,0.0009036663560622,低重要度,2,True,1856
とらえる,0.000428045541048,0.000474464893341,0.0009025104343890001,低重要度,4,True,1859
ちゃん,0.000432473503881,0.0004690885543823,0.0009015620582633001,低重要度,3,True,1864
よい,0.0004826695685498,0.0004185744893481,0.0009012440578979001,低重要度,2,True,1866
ましし,0.0004222776208605,0.0004765157188688,0.0008987933397293,低重要度,3,True,1874
事前,0.0004664439153163,0.0004309803934384,0.0008974243087546999,低重要度,2,True,1877
いま,0.0004463234980558,0.0004452717458379,0.0008915952438937,低重要度,2,True,1897
限界,0.0004952321095126,0.0003937807466302,0.0008890128561428,低重要度,2,True,1903
プリント埋め,0.0004173079505562,0.000471619144082,0.0008889270946382,低重要度,6,True,1904
成功,0.0004236088134348,0.0004643676802515,0.0008879764936863,低重要度,2,True,1909
高度,0.0004223358950444,0.0004651503903525,0.0008874862853969,低重要度,2,True,1912
ある張っ,0.0004003479012421,0.0004869529179164,0.0008873008191585,低重要度,4,True,1915
構造,0.0004141176435744,0.0004721305702092,0.0008862482137836,低重要度,2,True,1918
観点,0.0004988852888345,0.0003870659180589,0.0008859512068933999,低重要度,2,True,1919
すぐ習,0.0004572369158267,0.0004280611872673,0.000885298103094,低重要度,3,True,1922
はじめ,0.0004055246503816,0.0004796741737259,0.0008851988241075,低重要度,3,True,1924
新鮮,0.0004732109606266,0.0004087546467781,0.0008819656074047001,低重要度,2,True,1936
完成,0.0004957106870573,0.0003816563938115,0.0008773670808687999,低重要度,2,True,1948
聞き逃し,0.0003768714765707,0.0004996409018834,0.0008765123784541,低重要度,4,True,1953
自動,0.0003938140081507,0.0004802165286881,0.0008740305368388,低重要度,2,True,1961
授業張っ,0.0004487295324603,0.0004248122374216,0.0008735417698819,低重要度,4,True,1964
だいたい,0.0004831310361623,0.0003893574078877,0.00087248844405,低重要度,4,True,1970
問題い,0.0004677557123777,0.000401355803777,0.0008691115161547,低重要度,3,True,1978
振り返っ,0.0004433562668661,0.0004257429391145,0.0008690992059806,低重要度,4,True,1979
ずつ,0.0004777184400994,0.0003906428957214,0.0008683613358208,低重要度,2,True,1981
