word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
代わり,0.0014794213431222,0.0004720517567225,0.0019514730998447,感情特化,3,True,12
持っけ,0.0015144240111112,0.0004195347428321,0.0019339587539432999,感情特化,3,True,15
忘れ物,0.00134670548141,0.000476193614304,0.001822899095714,感情特化,3,True,36
ます書,0.0014500285570438,0.0003579683028734,0.0018079968599172,感情特化,3,True,40
焦点,0.0012826823762484,0.0004854830248015,0.0017681654010499,感情特化,2,True,55
組む,0.0014277100563049,0.0003324266937043,0.0017601367500092,感情特化,2,True,59
素子,0.0014317973770878,0.0003134608268737,0.0017452582039615,感情特化,2,True,63
英語べ,0.0012595412135124,0.0004723387956619,0.0017318800091742999,感情特化,3,True,64
前回,0.0012402959835173,0.0004852861166,0.0017255821001173,感情特化,2,True,68
入力,0.0012457988411188,0.0004760865867137,0.0017218854278325002,感情特化,2,True,69
TA,0.0014084410809335,0.0002681063044638,0.0016765473853973,感情特化,2,False,91
OK,0.001194678992033,0.0004749998450279,0.0016696788370609002,感情特化,2,False,95
感謝,0.0012947014932121,0.0003661608057362,0.0016608622989483,感情特化,2,True,103
取り組め丈夫,0.0014063686664615,0.0002337981547628,0.0016401668212243,感情特化,6,True,113
無し,0.0011533120026191,0.0004752712945143,0.0016285832971333998,感情特化,2,True,120
付け,0.0012815562180346,0.0003423946599165,0.0016239508779511001,感情特化,2,True,123
コミュニケーション,0.001185778823452,0.0004370648033565,0.0016228436268085,感情特化,9,True,125
さま,0.0011833601941665,0.0004375505571564,0.0016209107513228999,感情特化,2,True,128
デバイス,0.0012973485093924,0.0003111081257943,0.0016084566351867,感情特化,4,True,141
試合,0.0012114490899774,0.0003943848941061,0.0016058339840834999,感情特化,2,True,142
から修,0.0011679769626685,0.0004250566874231,0.0015930336500916001,感情特化,3,True,149
です張り,0.0011829178441654,0.0004000819542191,0.0015829997983845,感情特化,4,True,157
パワー,0.0010844375145562,0.0004959113843052,0.0015803488988613999,感情特化,3,True,160
こと習習,0.0012398143964154,0.0003391496304954,0.0015789640269108,感情特化,4,True,161
地域生,0.0013761251336998,0.0002013088928328,0.0015774340265326,感情特化,3,True,162
年間,0.0010969334492279,0.0004764496078414,0.0015733830570692998,感情特化,2,True,165
量子,0.0012077209539711,0.0003629168495535,0.0015706378035246,感情特化,2,True,168
挟ん,0.0012103362152209,0.0003508925437927,0.0015612287590135998,感情特化,2,True,179
やすく習,0.0011908686054604,0.0003527849912643,0.0015436535967247,感情特化,4,True,194
ストレス,0.0011856603468286,0.0003557449270939,0.0015414052739225,感情特化,4,True,198
合格,0.0011437381223096,0.0003962631700402,0.0015400012923498,感情特化,2,True,201
かかわら,0.0012001934505644,0.0003393962979316,0.001539589748496,感情特化,4,True,203
生産,0.0011099184242387,0.0004278098543485,0.0015377282785872001,感情特化,2,True,205
ことべる,0.0012795447625897,0.0002572224898771,0.0015367672524668002,感情特化,4,True,207
生き物,0.0013137528938906,0.0002172791532107,0.0015310320471013002,感情特化,3,True,209
comments,0.001106571406126,0.0004228342037934,0.0015294056099193999,感情特化,8,False,212
確立,0.0011662376875227,0.0003618746995925,0.0015281123871152,感情特化,2,True,215
作品,0.0010482066256158,0.0004768326659412,0.0015250392915569998,感情特化,2,True,218
英語,0.001154755729676,0.0003605426254647,0.0015152983551407,感情特化,2,True,235
ください,0.0010693148842879,0.0004418176313748,0.0015111325156627001,感情特化,4,True,238
よかっ,0.0012022506086635,0.0003029850978074,0.0015052357064709,感情特化,3,True,244
科目張っ,0.0014050062745809,9.92482528090477e-05,0.0015042545273899477,感情特化,4,True,245
まし習習,0.0010138115083629,0.0004901293326507,0.0015039408410136,感情特化,4,True,246
始める,0.0010124850604269,0.0004914167026678,0.0015039017630947,感情特化,3,True,247
覚えれ,0.0010898850858211,0.0004139482975006,0.0015038333833217001,感情特化,3,True,248
キツかっ,0.001192519813776,0.0003077819943428,0.0015003018081188,感情特化,4,True,250
確か,0.0011251413009383,0.0003748373551802,0.0014999786561185,感情特化,2,True,252
覚えよう,0.001160522124597,0.0003293593014989,0.0014898814260959,感情特化,4,True,262
一定,0.0010876299015113,0.0004018310989652,0.0014894610004765,感情特化,2,True,264
なくしかっ,0.0010402575135231,0.0004465164882796,0.0014867740018027,感情特化,5,True,266
実行,0.0012263992712611,0.0002599606911341,0.0014863599623952,感情特化,2,True,268
ニュース,0.001227967441082,0.0002563816885794,0.0014843491296614001,感情特化,4,True,269
確認,0.0009870625528488,0.0004963478829273,0.0014834104357761002,感情特化,2,True,271
予告,0.000995412779351,0.0004861752192179,0.0014815879985689,感情特化,2,True,274
疑問,0.0011986679612443,0.0002826927946164,0.0014813607558607,感情特化,2,True,275
受けよう,0.0010935082835586,0.0003859449766184,0.001479453260177,感情特化,4,True,279
おく習,0.001066163980535,0.000411362520286,0.001477526500821,感情特化,3,True,281
新聞,0.0009966380177782,0.0004806406795978,0.0014772786973759999,感情特化,2,True,283
公開,0.0010094855150038,0.0004670846868645,0.0014765702018683,感情特化,2,True,284
軌道,0.0009904977466378,0.0004849849002701,0.0014754826469079,感情特化,2,True,285
プロ,0.0011193414684385,0.0003559365868568,0.0014752780552953,感情特化,2,True,286
制御,0.001008945568982,0.0004636838307811,0.0014726293997631,感情特化,2,True,290
メリハリ,0.0011175461113452,0.0003546071904046,0.0014721533017498,感情特化,4,True,292
ニュアンス,0.0009875145430366,0.0004833315809567,0.0014708461239933,感情特化,5,True,293
答える,0.0010469135289129,0.0004233870851366,0.0014703006140495,感情特化,3,True,294
決まり,0.0011885568499565,0.0002816125750541,0.0014701694250106,感情特化,3,True,295
面白,0.0010222227823349,0.0004476040842071,0.0014698268665419999,感情特化,2,True,297
周辺,0.0012982587019602,0.0001704276849826,0.0014686863869428001,感情特化,2,True,300
仕方ない,0.0010159629441442,0.0004513244188967,0.0014672873630409,感情特化,4,True,301
ます,0.0011763021243789,0.0002895853551801,0.0014658874795589999,感情特化,2,True,303
切れ,0.0011657827666827,0.0002952888607978,0.0014610716274804998,感情特化,2,True,306
課程,0.0009749680757522,0.0004813164472579,0.0014562845230101,感情特化,2,True,313
礼儀,0.0012036283664843,0.00024724664057,0.0014508750070543,感情特化,2,True,319
仕方べ,0.0012817066162824,0.0001679000755151,0.0014496066917975,感情特化,3,True,320
おき,0.0011134066576646,0.0003349499522962,0.0014483566099608,感情特化,2,True,322
入れ,0.0010864729927459,0.0003583388744105,0.0014448118671564,感情特化,2,True,328
契約,0.0010763946920633,0.0003647729754447,0.001441167667508,感情特化,2,True,334
あらゆる,0.000945225577144,0.0004955626585904,0.0014407882357344,感情特化,4,True,335
ましょう習,0.0010362593240516,0.0004025043616461,0.0014387636856977,感情特化,5,True,338
卓球,0.001103438436985,0.0003342873909894,0.0014377258279744,感情特化,2,True,339
