word,sentiment_importance,course_importance,total_importance,category,word_length,is_japanese,rank
符号,0.0004732452332973,0.001305641233921,0.0017788864672183,評価特化,2,True,47
近づい,0.0004963675005869,0.0012727014043114,0.0017690689048983,評価特化,3,True,54
基礎,0.0004119836618379,0.0012776238140476,0.0016896074758855,評価特化,2,True,85
人材,0.0003735367208719,0.0012649204581975,0.0016384571790694,評価特化,2,True,114
おけ,0.0004222590941935,0.0012140431637434,0.0016363022579369,評価特化,2,True,116
とら,0.0004453377798199,0.0011746875941753,0.0016200253739952,評価特化,2,True,130
当て,0.0004883454077773,0.0010522741962362,0.0015406196040135,評価特化,2,True,200
比べ,0.0004497784962002,0.0010786427773981,0.0015284212735983,評価特化,2,True,214
さまざま,0.000394985418428,0.0011223870244893,0.0015173724429173,評価特化,4,True,229
おけ丈夫,0.0004848710754338,0.001008205992334,0.0014930770677678,評価特化,4,True,256
いただけるい,0.0003051492385566,0.0011859806254506,0.0014911298640072,評価特化,6,True,260
in,0.0004529304802417,0.0010267004370689,0.0014796309173105999,評価特化,2,False,278
予定,0.0004873917704182,0.0009761109415973,0.0014635027120155,評価特化,2,True,305
授業習,0.0004831394597665,0.000959378514272,0.0014425179740385,評価特化,3,True,332
いき,0.0003418264374749,0.0010940583820095,0.0014358848194844,評価特化,2,True,340
興味く,0.0003869943320751,0.0010445776085058,0.0014315719405809,評価特化,3,True,346
調整,0.0001700206526688,0.0012559039252144,0.0014259245778832,評価特化,2,True,353
地球,0.0002537782749404,0.001169991504023,0.0014237697789634,評価特化,2,True,357
程度,0.0003711633544298,0.0010497187176952,0.001420882072125,評価特化,2,True,363
目的,0.0002855211496353,0.0011336887555737,0.001419209905209,評価特化,2,True,364
放射,0.0004982627928256,0.0009195864200592,0.0014178492128848,評価特化,2,True,369
モーメント,0.0004435496197806,0.0009679090645578,0.0014114586843384,評価特化,5,True,378
なる張っ,0.0003797885030508,0.0010296031832695,0.0014093916863203001,評価特化,4,True,384
十分,0.0003670091438736,0.0010304424307636,0.0013974515746372,評価特化,2,True,402
友達,0.0003635590686836,0.0010319529250662,0.0013955119937497998,評価特化,2,True,406
挙げ,0.0002869567057738,0.0011042443414529,0.0013912010472266999,評価特化,2,True,410
なかっ,0.0004691468598505,0.0009168127288394,0.0013859595886899,評価特化,3,True,421
地形,0.0003095535561442,0.0010761436074972,0.0013856971636413999,評価特化,2,True,422
