natural,mean_shap,abs_mean_shap,std_shap,count
 良かった,0.2465709603196082,0.2465709603196082,0.17877909052697,207.0
 おもしろ,0.24384845575140474,0.24384845575140474,0.1511965221795465,10.0
 よかった,0.2251415607554201,0.2251415607554201,0.1472742600635929,195.0
 面白,0.21775564944405107,0.2178084424676933,0.1719130644946311,100.0
 やすい,0.19964963786003626,0.20035323776308217,0.11867987699655445,504.0
 楽しい,0.1959309527011595,0.1967916041183987,0.1598271514553493,67.0
 楽しめる,0.1875528837120833,0.18769145180251337,0.1234360880135515,6.0
 ありが,0.1759885845045723,0.1759885845045723,0.12451870970788861,19.0
 楽し,0.164186664563746,0.1642212982647802,0.1457608256547503,192.0
 面白い,0.1517880348999933,0.1517880348999933,0.1282739264300365,37.0
 でき,0.1254147836059627,0.1255920436217699,0.101180112177098,996.0
 出来,0.1146919724761077,0.1148908773003507,0.0903211374293283,237.0
かった,0.109923101406553,0.1099910372054699,0.0645441734276806,539.0
 助,0.10439380390026032,0.1044449014529796,0.0776673104313321,41.0
 達成,0.1034648115395583,0.1034648115395583,0.030250113110275298,9.0
 学,0.0962192511758466,0.0964220275461202,0.1006485955623744,263.0
 きっかけ,0.095687071618128,0.0960422731969629,0.098801415720139,20.0
 好き,0.0946964353760517,0.0946964353760517,0.1051813993211858,32.0
 嬉,0.0943061796969836,0.0943061796969836,0.0772049694811302,29.0
 充実,0.0916438465665239,0.0916438465665239,0.1188694372157979,20.0
 役立つ,0.0898002158382858,0.0902127409817601,0.09543060798398541,22.0
 価値,0.087660462089185,0.087660462089185,0.0597455690112539,7.0
 飽き,0.0849107695932616,0.10062403110350711,0.1345238791333083,5.0
 深,0.0838918529812189,0.0840176682262496,0.0676554685693784,51.0
べ,0.0835727421157475,0.0851886205157164,0.0706666255418604,148.0
 分かり,0.0833357663956146,0.0834872457478904,0.0731107525958179,251.0
 なれ,0.0796424362209951,0.0796424362209951,0.0841558756877347,9.0
 仲良く,0.0788791916898584,0.0788791916898584,0.0646031021622386,7.0
 安心,0.0786909470676154,0.0795998765303846,0.0739410767727299,14.0
 立っ,0.0751395764636981,0.0751395764636981,0.0506200124107011,10.0
べる,0.0746275915173506,0.0749666105636708,0.0793564200238732,30.0
 わかり,0.0733000480437486,0.07374286690125578,0.0685268391297919,232.0
 合っ,0.0724102110046563,0.0724102110046563,0.0708699188636191,6.0
 新鮮,0.07195136640976892,0.07195136640976892,0.0696356589783968,7.0
 繋がっ,0.0713415860252488,0.0713415860252488,0.0413543728142644,5.0
 過ご,0.0707503823330625,0.0707503823330625,0.0845338276414925,5.0
 実用,0.068109126665513,0.068109126665513,0.0602063977309087,5.0
たか,0.06688230011423,0.0845835835448683,0.0734648124655345,11.0
 意義,0.0667707106138997,0.0667707106138997,0.0626222660516297,71.0
 できる,0.0660615626965284,0.0665876201787979,0.0823194643098625,188.0
 楽しん,0.0655041858898534,0.0655041858898534,0.0630096633820533,12.0
 役,0.0645807442887074,0.064628285308447,0.0565747425442107,52.0
 会,0.0644343984821199,0.0665622858605667,0.1022502244804406,5.0
 つながっ,0.0634302669277531,0.0634302669277531,0.065243325787729,6.0
 楽しみ,0.0605517926634869,0.0605517926634869,0.0512914714472178,17.0
 良い,0.0603819613627463,0.0604113660954668,0.0717498134488811,228.0
 向上,0.0602978064742381,0.0602978064742381,0.0868224752479916,20.0
 得,0.0596832272508436,0.0603286188244662,0.0803874920929677,24.0
 得る,0.0586801223936264,0.0586801223936264,0.0398196321253714,30.0
 楽,0.0584039012163302,0.0586064188952197,0.0736803760963806,26.0
 立ち,0.0579818064992044,0.0579818064992044,0.0267091581446844,6.0
 有,0.0578450258198282,0.05788460189929499,0.0578874587748376,72.0
 習得,0.0576699502695194,0.05901401848307939,0.05459370977515119,6.0
 学ぶ,0.0571381178122098,0.057495526717140796,0.0450928531865439,349.0
 使える,0.0568226157220823,0.05689801994538769,0.0445339155863765,13.0
 感謝,0.056434207558800895,0.056434207558800895,0.0737878613698704,18.0
 まし,0.0557798098924185,0.0560520594762275,0.0628921126544262,1182.0
 もらえる,0.0553817207748493,0.0559265045879631,0.0598548603551044,14.0
 た,0.05495743032395339,0.0551040583876744,0.06089769551935901,5162.0
 出来る,0.0545884427419656,0.0553059625450741,0.0715028595773756,37.0
 よい,0.0536686616320291,0.0536686616320291,0.0592660899364395,49.0
 つながり,0.0519153845080093,0.0523399311937665,0.033560934651295,7.0
れる,0.050872640772366896,0.050872640772366896,0.049392591419714,6.0
