,mean_shap,abs_mean_shap,std_shap,count,class_dist
 やす,0.24005549866751608,0.24005549866751608,0.14193901592739688,4,"{0: 0, 1: 2, 2: 2}"
 よかっ,0.16692320237303648,0.16692320237303648,0.14158403213117707,5,"{0: 0, 1: 2, 2: 3}"
 わかっ,0.10145056611023999,0.10145056611023999,0.0659497759240714,3,"{0: 0, 1: 2, 2: 1}"
 でき,0.09633143800970316,0.09760277573576163,0.10267918819716927,19,"{0: 4, 1: 5, 2: 10}"
 学,0.07744089324066104,0.07744089324066104,0.07494657747397053,3,"{0: 0, 1: 2, 2: 1}"
 大切,0.07226489960885374,0.07521231559561177,0.054251975642738114,3,"{0: 0, 1: 2, 2: 1}"
 学び,0.044528026325375926,0.044528026325375926,0.05245342398953362,3,"{0: 0, 1: 1, 2: 2}"
 取り組む,0.039205857102691276,0.039205857102691276,0.01782760777957085,3,"{0: 0, 1: 2, 2: 1}"
かっ,0.03744946250917565,0.03752536189422244,0.04725042863813487,10,"{0: 5, 1: 2, 2: 3}"
 わかり,0.03291695761836309,0.0355404595949949,0.03279000163215143,5,"{0: 1, 1: 1, 2: 3}"
 学ぶ,0.032303507740531735,0.032303507740531735,0.02909658906001542,3,"{0: 0, 1: 1, 2: 2}"
 まし,0.030466329387237565,0.030608894397687485,0.06595937707736645,18,"{0: 6, 1: 5, 2: 7}"
 分かり,0.02953039806607194,0.03095838158742481,0.03464155433587469,8,"{0: 4, 1: 4, 2: 0}"
 た,0.026549353183272697,0.02670607885774516,0.043332237543956875,164,"{0: 50, 1: 64, 2: 50}"
 すれ,0.023162143828055076,0.02399370836868305,0.017345374804070286,3,"{0: 1, 1: 2, 2: 0}"
 学ん,0.020359597899108465,0.020359597899108465,0.00986458948587365,3,"{0: 1, 1: 1, 2: 1}"
 変化,0.02000852229927356,0.023169311655995745,0.01916337393377767,3,"{0: 0, 1: 2, 2: 1}"
 言語,0.019596103382355068,0.022254479146795347,0.03291600124457493,4,"{0: 0, 1: 3, 2: 1}"
 もの,0.01930083382164109,0.01930083382164109,0.022950388568394837,3,"{0: 0, 1: 3, 2: 0}"
 説明,0.019251189550232084,0.02440549281836866,0.03017418713545277,5,"{0: 3, 1: 1, 2: 1}"
 作る,0.01798523469794115,0.01834306704768096,0.025814507715394508,3,"{0: 0, 1: 2, 2: 1}"
 知ら,0.017044712396454997,0.018883062638148356,0.0178287471493854,3,"{0: 0, 1: 0, 2: 3}"
 勧め,0.01682782442488436,0.01682782442488436,0.0034271678268500377,3,"{0: 1, 1: 2, 2: 0}"
 取り組み,0.016716244903363986,0.016716244903363986,0.013666759945777242,3,"{0: 0, 1: 1, 2: 2}"
 出来,0.016554354936374693,0.02023541859045963,0.0410441289375501,8,"{0: 3, 1: 2, 2: 3}"
 もらえ,0.01595062146100935,0.017726263127133147,0.01938968416352053,3,"{0: 1, 1: 1, 2: 1}"
 受け,0.01566425198871002,0.01566425198871002,0.008604508452738302,3,"{0: 1, 1: 1, 2: 1}"
 !,0.015135447984997349,0.020155107976373453,0.021164985292883583,8,"{0: 0, 1: 6, 2: 2}"
 何,0.014950396189669845,0.015351639008440544,0.02329738015657673,5,"{0: 1, 1: 2, 2: 2}"
 実験,0.014714506140990125,0.020156250387117325,0.031936179150014926,4,"{0: 0, 1: 3, 2: 1}"
 理解,0.014661922356993713,0.018340951697400753,0.027182633979516962,31,"{0: 8, 1: 18, 2: 5}"
 思う,0.014571222568130386,0.018925388315914286,0.03381664891532489,7,"{0: 0, 1: 5, 2: 2}"
 重要,0.014274227195736395,0.014435942154185404,0.02712467212815897,5,"{0: 2, 1: 3, 2: 0}"
 いる,0.01349979204574733,0.01646163411091298,0.03675999544139634,16,"{0: 5, 1: 10, 2: 1}"
 頑,0.012265021352872319,0.012784636142455522,0.027189599289579588,9,"{0: 1, 1: 8, 2: 0}"
れ,0.012121354127884842,0.012121354127884842,0.008712048609559497,4,"{0: 0, 1: 4, 2: 0}"
 問題,0.01179736326503189,0.01613607280251017,0.0322489441743706,6,"{0: 3, 1: 3, 2: 0}"
 こと,0.011333045564744872,0.01469315196876767,0.022642902315631545,61,"{0: 11, 1: 30, 2: 20}"
 使う,0.011325841722282348,0.01192613881842893,0.01659101669542911,3,"{0: 0, 1: 2, 2: 1}"
 だっ,0.010936399272980322,0.01376211872431148,0.020066999446320642,14,"{0: 6, 1: 2, 2: 6}"
 いう,0.010764934770486434,0.014720322224820847,0.01536681151225347,5,"{0: 1, 1: 2, 2: 2}"
 的,0.010544880529347142,0.011927304407004999,0.017221147785240323,9,"{0: 0, 1: 4, 2: 5}"
 今,0.010363635514659108,0.010864847394259414,0.013308974272855661,5,"{0: 1, 1: 3, 2: 1}"
 れ,0.009805887864916128,0.01049174501622474,0.012940118078431729,7,"{0: 3, 1: 2, 2: 2}"
 良い,0.009763337546044365,0.01001563496215062,0.011474285188093286,6,"{0: 2, 1: 4, 2: 0}"
 解け,0.009623276828278904,0.015905638069723085,0.020923929357019887,7,"{0: 1, 1: 6, 2: 0}"
 など,0.00950819025924151,0.011923744325160933,0.02003318010272392,10,"{0: 3, 1: 2, 2: 5}"
 プログラム,0.0094817380643993,0.011575887285289355,0.010019665302494356,3,"{0: 0, 1: 1, 2: 2}"
っ,0.008673282339363401,0.009872824776565332,0.013651529797168768,7,"{0: 4, 1: 2, 2: 1}"
